container.title,created,doi,title,type,first.author,authors
Journal of Experimental Marine Biology and Ecology,2009-01-16,10.1016/j.jembe.2008.12.002,"First results from satellite-linked archival tagging of porbeagle shark, Lamna nasus: Area fidelity, wider-scale movements and plasticity in diel depth changes",journal-article,Pade,"Nicolas G. Pade, Nuno Queiroz, Nicolas E. Humphries, Matthew J. Witt, Catherine S. Jones, Leslie R. Noble, David W. Sims"
Journal of Experimental Marine Biology and Ecology,2013-12-04,10.1016/j.jembe.2013.10.024,"Combining bio-logging and fatty acid signature analysis indicates spatio-temporal variation in the diet of the southern elephant seal, Mirounga leonina",journal-article,Banks,"Janaya Banks, Mary-Anne Lea, Stephen Wall, Clive R. McMahon, Mark A. Hindell"
Journal of Experimental Marine Biology and Ecology,2014-11-26,10.1016/j.jembe.2014.11.005,"Flexible foraging behaviour in a marine predator, the Masked booby (Sula dactylatra), according to foraging locations and environmental conditions",journal-article,Sommerfeld,"Julia Sommerfeld, Akiko Kato, Yan Ropert-Coudert, Stefan Garthe, Chris Wilcox, Mark A. Hindell"
Journal of Experimental Marine Biology and Ecology,2015-09-03,10.1016/j.jembe.2015.07.016,Combined physiological and behavioral observations to assess the influence of vessel encounters on harbor seals in glacial fjords of southeast Alaska,journal-article,Karpovich,"Shawna A. Karpovich, John P. Skinner, Jeff E. Mondragon, Gail M. Blundell"
Journal of Experimental Marine Biology and Ecology,2017-06-06,10.1016/j.jembe.2017.05.010,"Diel habitat use patterns of a marine apex predator (tiger shark, Galeocerdo cuvier) at a high use area exposed to dive tourism",journal-article,Hammerschlag,"N. Hammerschlag, L.F.G. Gutowsky, A.J. Gallagher, P. Matich, S.J. Cooke"
Journal of Experimental Marine Biology and Ecology,2018-11-17,10.1016/j.jembe.2018.11.003,Effects of on-deck holding conditions and air exposure on post-release behaviours of sharks revealed by a remote operated vehicle,journal-article,Raoult,"Vincent Raoult, Jane E. Williamson, Timothy M. Smith, Troy F. Gaston"
Journal of Experimental Marine Biology and Ecology,2019-05-23,10.1016/j.jembe.2019.04.003,Personality influences foraging of a seabird under contrasting environmental conditions,journal-article,Krüger,"Lucas Krüger, Jorge M. Pereira, Vitor H. Paiva, Jaime A. Ramos"
Journal of Experimental Marine Biology and Ecology,2020-03-14,10.1016/j.jembe.2020.151354,The effect of gillnet capture on the metabolic rate of two shark species with contrasting lifestyles,journal-article,Molina,"Juan Manuel Molina, Licia Finotto, Terence Ivan Walker, Richard David Reina"
Journal of Experimental Marine Biology and Ecology,2020-07-29,10.1016/j.jembe.2020.151440,A novel experimental approach to investigate the potential for behavioural change in sharks in the context of depredation,journal-article,Mitchell,"J.D. Mitchell, M. Schifiliti, M.J. Birt, T. Bond, D.L. McLean, P.B. Barnes, T.J. Langlois"
Journal of Environmental Management,2020-11-17,10.1016/j.jenvman.2020.111509,Northern gannets (Morus bassanus) are strongly affected by operating offshore wind farms during the breeding season,journal-article,Peschko,"Verena Peschko, Bettina Mendel, Moritz Mercker, Jochen Dierschke, Stefan Garthe"
Journal of Environmental Management,2021-07-01,10.1016/j.jenvman.2021.113149,Flight altitudes of a soaring bird suggest landfill sites as power line collision hotspots,journal-article,Marcelino,"Joana Marcelino, Francisco Moreira, Aldina M.A. Franco, Andrea Soriano-Redondo, Marta Acácio, Jethro Gauld, Francisco Castro Rego, João Paulo Silva, Inês Catry"
Journal of Marine Systems,2019-11-16,10.1016/j.jmarsys.2019.103265,Chlorophyll fluorescence as measured in situ by animal-borne instruments in the northeastern Pacific Ocean,journal-article,Keates,"Theresa R. Keates, Raphael M. Kudela, Rachel R. Holser, Luis A. Hückstädt, Samantha E. Simmons, Daniel P. Costa"
Journal of Marine Systems,2019-11-16,10.1016/j.jmarsys.2019.103266,WITHDRAWN: Chlorophyll fluorescence as measured in situ by animal-borne instruments in the northeastern Pacific Ocean,journal-article,Keates,"Theresa R. Keates, Raphael M. Kudela, Rachel R. Holser, Luis A. Hückstädt, Samantha E. Simmons, Daniel P. Costa"
Journal of Theoretical Biology,2020-04-07,10.1016/j.jtbi.2020.110267,How range residency and long-range perception change encounter rates,journal-article,Martinez-Garcia,"Ricardo Martinez-Garcia, Christen H. Fleming, Ralf Seppelt, William F. Fagan, Justin M. Calabrese"
Marine Policy,2014-01-03,10.1016/j.marpol.2013.11.024,Better integration of sectoral planning and management approaches for the interlinked ecology of the open oceans,journal-article,Ban,"Natalie C. Ban, Sara M. Maxwell, Daniel C. Dunn, Alistair J. Hobday, Nicholas J. Bax, Jeff Ardron, Kristina M. Gjerde, Edward T. Game, Rodolphe Devillers, David M. Kaplan, Piers K. Dunstan, Patrick N. Halpin, Robert L. Pressey"
Marine Policy,2019-10-14,10.1016/j.marpol.2019.103692,Adélie penguins’ extensive seasonal migration supports dynamic Marine Protected Area planning in Antarctica,journal-article,Thiebot,"Jean-Baptiste Thiebot, Yan Ropert-Coudert, Thierry Raclot, Timothée Poupart, Akiko Kato, Akinori Takahashi"
Marine Pollution Bulletin,2017-05-25,10.1016/j.marpolbul.2017.05.037,Avoidance responses of minke whales to 1–4 kHz naval sonar,journal-article,Kvadsheim,"Petter H. Kvadsheim, Stacy DeRuiter, Lise D. Sivle, Jeremy Goldbogen, Rune Roland-Hansen, Patrick J.O. Miller, Frans-Peter A. Lam, John Calambokidis, Ari Friedlaender, Fleur Visser, Peter L. Tyack, Lars Kleivane, Brandon Southall"
Neuron,2020-10-14,10.1016/j.neuron.2020.09.017,"A Primer on Motion Capture with Deep Learning: Principles, Pitfalls, and Perspectives",journal-article,Mathis,"Alexander Mathis, Steffen Schneider, Jessy Lauer, Mackenzie Weygandt Mathis"
Ocean &amp; Coastal Management,2017-04-07,10.1016/j.ocecoaman.2017.03.028,Aligning habitat use with management zoning to reduce vessel strike of sea turtles,journal-article,Shimada,"Takahiro Shimada, Colin Limpus, Rhondda Jones, Mark Hamann"
Physica A: Statistical Mechanics and its Applications,2021-12-16,10.1016/j.physa.2021.126702,Group size and resource fractality drive multimodal search strategies: A quantitative analysis on group foraging,journal-article,Nauta,"Johannes Nauta, Pieter Simoens, Yara Khaluf"
Physics of Life Reviews,2014-06-13,10.1016/j.plrev.2014.06.011,Pest insect movement and dispersal as an example of applied movement ecology,journal-article,Codling,Edward A. Codling
Polar Science,2015-10-17,10.1016/j.polar.2015.10.001,"Chinstrap penguin foraging area associated with a seamount in Bransfield Strait, Antarctica",journal-article,Kokubun,"Nobuo Kokubun, Won Young Lee, Jeong-Hoon Kim, Akinori Takahashi"
Rangeland Ecology &amp; Management,2016-08-31,10.1016/j.rama.2016.07.004,Encounters with Pinyon-Juniper Influence Riskier Movements in Greater Sage-Grouse Across the Great Basin,journal-article,Prochazka,"Brian G. Prochazka, Peter S. Coates, Mark A. Ricca, Michael L. Casazza, K. Benjamin Gustafson, Josh M. Hull"
Science of The Total Environment,2022-09-05,10.1016/j.scitotenv.2022.158533,"Gone with the wind – Wind speed affects prey accessibility for a High Arctic zooplanktivorous seabird, the little auk Alle alle",journal-article,Jakubas,"Dariusz Jakubas, Katarzyna Wojczulanis-Jakubas, Marlena Szeligowska, Miroslaw Darecki, Rafał Boehnke, Kaja Balazy, Emilia Trudnowska, Dorota Kidawa, Antoine Grissot, Sébastien Descamps, Katarzyna Błachowiak-Samołyk"
Journal of Sea Research,2019-11-29,10.1016/j.seares.2019.101826,Seabird assemblage at the mouth of the Amazon River and its relationship with environmental characteristics,journal-article,Daudt,"Nicholas W. Daudt, Suzana P. Martins, Eduardo P. Kirinus, Leandro Bugoni"
Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,2016-03-05,10.1016/j.shpsc.2016.02.005,"Trackable life: Data, sequence, and organism in movement ecology",journal-article,Benson,Etienne S. Benson
Trends in Ecology &amp; Evolution,2016-11-01,10.1016/j.tree.2016.10.010,Energy Landscapes and the Landscape of Fear,journal-article,Gallagher,"Austin J. Gallagher, Scott Creel, Rory P. Wilson, Steven J. Cooke"
Veterinary Immunology and Immunopathology,2018-10-15,10.1016/j.vetimm.2018.10.003,Long-term implantation of acoustic transmitters induces chronic inflammatory cytokine expression in adult rainbow trout (Oncorhynchus mykiss),journal-article,Semple,"Shawna L. Semple, Ingeborg M. Mulder, Tania Rodriguez-Ramos, Michael Power, Brian Dixon"
Oceanologica Acta,2003-04-25,10.1016/s0399-1784(02)01212-4,Revealing pelagic habitat use: the tagging of Pacific pelagics program,journal-article,Block,"Barbara A Block, Daniel P Costa, George W Boehlert, Randy E Kochevar"
